308.852, 129.491, 4.286,  4.379 False
308.709, 129.491, 4.318,  4.412 False
308.564, 129.491, 4.349,  4.445 False
308.418, 129.491, 4.381,  4.478 False
308.271, 129.491, 4.413,  4.511 False
308.123, 129.491, 4.444,  4.544 False
307.974, 129.491, 4.475,  4.577 False
307.825, 129.491, 4.506,  4.610 False
307.674, 129.491, 4.537,  4.643 False
307.522, 129.491, 4.568,  4.676 False
307.369, 129.491, 4.599,  4.709 False
307.214, 129.491, 4.630,  4.742 False
307.059, 129.491, 4.660,  4.775 False
306.903, 129.491, 4.691,  4.808 False
306.746, 129.491, 4.722,  4.841 False
306.588, 129.493, 4.751,  4.874 False
306.429, 129.495, 4.781,  4.907 False
306.269, 129.499, 4.812,  4.940 False
306.108, 129.501, 4.844,  4.973 False
305.945, 129.505, 4.874,  5.006 False
305.782, 129.509, 4.905,  5.039 False
305.618, 129.513, 4.936,  5.072 False
305.453, 129.518, 4.968,  5.105 False
305.286, 129.523, 4.999,  5.138 False
305.119, 129.529, 5.030,  5.171 False
304.951, 129.535, 5.061,  5.204 False
304.781, 129.540, 5.091,  5.237 False
304.611, 129.546, 5.121,  5.270 False
304.440, 129.553, 5.151,  5.303 False
304.267, 129.561, 5.176,  5.336 False
304.095, 129.569, 5.187,  5.369 False
303.923, 129.577, 5.183,  5.402 False
303.750, 129.585, 5.182,  5.435 False
303.578, 129.593, 5.192,  5.468 False
303.404, 129.600, 5.210,  5.501 False
303.230, 129.608, 5.236,  5.534 False
303.055, 129.616, 5.268,  5.567 False
302.879, 129.624, 5.303,  5.600 False
302.701, 129.633, 5.342,  5.633 False
302.522, 129.641, 5.383,  5.666 False
302.342, 129.649, 5.423,  5.699 False
302.160, 129.658, 5.464,  5.732 False
301.977, 129.666, 5.504,  5.765 False
301.793, 129.675, 5.544,  5.798 False
301.607, 129.685, 5.583,  5.831 False
301.420, 129.694, 5.622,  5.864 False
301.232, 129.703, 5.660,  5.897 False
301.043, 129.714, 5.697,  5.930 False
300.852, 129.725, 5.733,  5.963 False
300.660, 129.736, 5.769,  5.996 False
300.468, 129.747, 5.805,  6.029 False
300.274, 129.758, 5.840,  6.062 False
300.078, 129.769, 5.874,  6.095 False
299.882, 129.780, 5.908,  6.128 False
299.685, 129.791, 5.942,  6.161 False
299.486, 129.803, 5.976,  6.194 False
299.287, 129.814, 6.009,  6.227 False
299.086, 129.825, 6.042,  6.260 False
298.884, 129.837, 6.075,  6.293 False
298.681, 129.849, 6.109,  6.326 False
298.477, 129.861, 6.142,  6.359 False
298.272, 129.873, 6.175,  6.392 False
298.066, 129.885, 6.206,  6.425 False
297.858, 129.898, 6.239,  6.458 False
297.650, 129.910, 6.270,  6.491 False
297.441, 129.923, 6.303,  6.524 False
297.230, 129.935, 6.334,  6.557 False
297.019, 129.948, 6.366,  6.590 False
296.806, 129.960, 6.397,  6.623 False
296.593, 129.973, 6.430,  6.656 False
296.378, 129.986, 6.461,  6.689 False
296.162, 129.999, 6.493,  6.722 False
295.946, 130.012, 6.523,  6.755 False
295.728, 130.025, 6.555,  6.788 False
295.509, 130.038, 6.586,  6.821 False
295.289, 130.051, 6.617,  6.854 False
295.068, 130.065, 6.648,  6.887 False
294.846, 130.078, 6.679,  6.920 False
294.623, 130.092, 6.709,  6.953 False
294.400, 130.105, 6.739,  6.986 False
294.175, 130.119, 6.768,  7.019 False
293.949, 130.133, 6.798,  7.052 False
293.722, 130.146, 6.827,  7.085 False
293.494, 130.160, 6.857,  7.118 False
293.265, 130.174, 6.886,  7.151 False
293.036, 130.188, 6.916,  7.184 False
292.805, 130.202, 6.945,  7.217 False
292.573, 130.216, 6.975,  7.250 False
292.340, 130.230, 7.004,  7.283 False
292.107, 130.244, 7.034,  7.316 False
291.872, 130.258, 7.063,  7.349 False
291.636, 130.273, 7.093,  7.382 False
291.400, 130.287, 7.121,  7.415 False
291.162, 130.303, 7.150,  7.448 False
290.923, 130.318, 7.180,  7.481 False
290.684, 130.334, 7.210,  7.514 False
290.443, 130.349, 7.239,  7.547 False
290.202, 130.364, 7.269,  7.580 False
289.959, 130.379, 7.298,  7.613 False
289.716, 130.394, 7.328,  7.646 False
289.471, 130.409, 7.357,  7.679 False
289.226, 130.424, 7.387,  7.712 False
288.979, 130.439, 7.415,  7.745 False
288.732, 130.454, 7.445,  7.778 False
288.483, 130.469, 7.473,  7.811 False
288.234, 130.484, 7.503,  7.844 False
287.984, 130.499, 7.531,  7.877 False
287.732, 130.513, 7.560,  7.910 False
287.480, 130.528, 7.588,  7.943 False
287.227, 130.543, 7.618,  7.976 False
286.973, 130.558, 7.646,  8.009 False
286.717, 130.573, 7.676,  8.042 False
286.461, 130.587, 7.705,  8.075 False
286.204, 130.602, 7.735,  8.108 False
285.946, 130.617, 7.764,  8.141 False
285.687, 130.632, 7.794,  8.174 False
285.427, 130.647, 7.823,  8.207 False
285.166, 130.661, 7.853,  8.240 False
284.903, 130.676, 7.881,  8.273 False
284.640, 130.689, 7.911,  8.306 False
284.376, 130.702, 7.940,  8.339 False
284.111, 130.715, 7.970,  8.372 False
