-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.201, -0.027,  0.115
-183.800, 80.201, -0.014,  0.148
-183.801, 80.201, -0.011,  0.181
-183.801, 80.201, -0.008,  0.214
-183.801, 80.201, -0.003,  0.247
-183.801, 80.201, 0.006,  0.280
-183.801, 80.200, 0.043,  0.313
-183.800, 80.194, 0.186,  0.346
-183.799, 80.185, 0.268,  0.379
-183.797, 80.172, 0.418,  0.412
-183.796, 80.151, 0.644,  0.445
-183.794, 80.122, 0.875,  0.478
-183.791, 80.087, 1.054,  0.511
-183.786, 80.047, 1.196,  0.544
-183.783, 80.005, 1.267,  0.577
-183.780, 79.962, 1.307,  0.610
-183.775, 79.918, 1.333,  0.643
-183.769, 79.874, 1.359,  0.676
-183.766, 79.829, 1.389,  0.709
-183.762, 79.783, 1.404,  0.742
-183.757, 79.737, 1.407,  0.775
-183.753, 79.690, 1.422,  0.808
-183.749, 79.644, 1.416,  0.841
-183.743, 79.598, 1.404,  0.874
-183.739, 79.551, 1.409,  0.907
-183.735, 79.505, 1.408,  0.940
-183.728, 79.459, 1.405,  0.973
-183.724, 79.412, 1.421,  1.006
-183.719, 79.365, 1.432,  1.039
-183.713, 79.317, 1.441,  1.072
-183.708, 79.269, 1.467,  1.105
-183.702, 79.220, 1.484,  1.138
-183.695, 79.171, 1.496,  1.171
-183.689, 79.120, 1.521,  1.204
-183.683, 79.070, 1.535,  1.237
-183.680, 79.018, 1.549,  1.270
-183.675, 78.967, 1.556,  1.303
-183.668, 78.915, 1.554,  1.336
-183.662, 78.864, 1.563,  1.369
-183.656, 78.812, 1.563,  1.402
-183.651, 78.760, 1.567,  1.435
-183.646, 78.708, 1.568,  1.468
-183.639, 78.657, 1.565,  1.501
-183.633, 78.605, 1.577,  1.534
-183.630, 78.552, 1.585,  1.567
-183.625, 78.499, 1.596,  1.600
-183.618, 78.446, 1.603,  1.633
-183.614, 78.392, 1.618,  1.666
-183.608, 78.338, 1.628,  1.699
-183.604, 78.284, 1.640,  1.732
